customer_id,risk_score,predicted_label,risk_level
SYNID0105890772,1.0,1,Extremely High
SYNID0109825639,0.9890005883355263,1,Extremely High
SYNID0103568592,0.984366268700183,1,Extremely High
SYNID0107845889,0.9637554513853366,1,Extremely High
SYNID0100797139,0.9635225525871243,1,Extremely High
SYNID0101094714,0.9586353113980299,1,Extremely High
SYNID0105741656,0.9584813500332137,1,Extremely High
SYNID0107065714,0.9436592910915947,1,Extremely High
SYNID0107241416,0.9421351158527552,1,Extremely High
SYNID0105415860,0.9420987354651624,1,Extremely High
SYNID0105603042,0.9398174577159206,1,Extremely High
SYNID0106279260,0.9389658451377818,1,Extremely High
SYNID0105411519,0.9380219014483978,1,Extremely High
SYNID0100696816,0.9352671426233827,1,Extremely High
SYNID0104466963,0.930749236176102,1,Extremely High
SYNID0109146900,0.9243767759631166,1,Extremely High
SYNID0107340625,0.9238607537360234,1,Extremely High
SYNID0101511348,0.9207865738751022,1,Extremely High
SYNID0102609740,0.9189990595598956,1,Extremely High
SYNID0104193125,0.9181109291526286,1,Extremely High
SYNID0102231439,0.9078219272463475,1,Extremely High
SYNID0104816428,0.90727612799483,1,Extremely High
SYNID0104960761,0.9069600897820024,1,Extremely High
SYNID0100275317,0.9059486949301732,1,Extremely High
SYNID0106910053,0.9014690022634972,1,Extremely High
SYNID0104377094,0.8999140847003491,1,Extremely High
SYNID0101582565,0.8995143292536372,1,Extremely High
SYNID0103550907,0.8994750413839454,1,Extremely High
SYNID0107594313,0.8953493668484418,1,Extremely High
SYNID0102728571,0.8952261190365853,1,Extremely High
SYNID0102770670,0.8871468479383005,1,Extremely High
SYNID0100264783,0.8846957889084692,1,Extremely High
SYNID0109533599,0.8816597117815868,1,Extremely High
SYNID0104061187,0.8788197710852399,1,Extremely High
SYNID0105161660,0.8784227514904013,1,Extremely High
SYNID0109698732,0.8771574827558575,1,Extremely High
SYNID0103491795,0.8739528815345641,1,Extremely High
SYNID0101193908,0.8737227902878818,1,Extremely High
SYNID0102149352,0.8697626977577328,1,Extremely High
SYNID0101058254,0.8694035001902464,1,Extremely High
SYNID0100987266,0.8668910372528004,1,Extremely High
SYNID0107104623,0.8657038380272251,1,Extremely High
SYNID0104617848,0.861172398149568,1,Extremely High
SYNID0103075071,0.8595955105056587,1,Extremely High
SYNID0101485997,0.8589399253454457,1,Extremely High
SYNID0109373868,0.8583517938136815,1,Extremely High
SYNID0104480183,0.8580006792834333,1,Extremely High
SYNID0100455016,0.856133957457367,1,Extremely High
SYNID0106232474,0.8554683331117112,1,Extremely High
SYNID0108543336,0.8551227133986181,1,Extremely High
SYNID0107979441,0.8548509149169097,1,Extremely High
SYNID0103238729,0.8493049279035744,1,Extremely High
SYNID0101796728,0.8471048223325988,1,Extremely High
SYNID0101509976,0.8451726110031962,1,Extremely High
SYNID0109337452,0.8433851121553082,1,Extremely High
SYNID0109908059,0.8426143451572392,1,Extremely High
SYNID0100445431,0.8419056231888946,1,Extremely High
