feature,importance
card_count,0.004087467694425581
occupation_code,0.0038445953803867474
account_activity_days,0.003704455814524319
first_transaction_date_days_ago,0.0035601984079654593
cheque_count,0.003407729127452931
last_transaction_date_days_ago,0.0030454624409758904
debit_count,0.00301721345884241
avg_transactions_per_day,0.0030168836771502674
velocity_variance_7day,0.0028940320347905775
income,0.002783264947909628
marital_status,0.00278173780462636
city,0.002698120142882174
min_transaction_amount,0.002531058962219538
emt_count,0.002529929957991708
max_transaction_amount,0.002434478242427913
credit_volume,0.0024164870350317008
debit_volume,0.0023118564361212933
gender,0.002292726853617316
unique_active_days,0.0022607792939201895
eft_count,0.0021563029803034423
total_volume_to_income_ratio,0.0021497021842671773
total_transaction_count,0.0020517823862669948
std_transaction_amount,0.0020211056446239085
province,0.0019522736040032968
activity_density,0.0019244854268955598
median_transaction_amount,0.0019240037624173867
age,0.0019025352087398257
customer_tenure_days,0.0018794287036742708
credit_count,0.001821511107845404
total_volume_cad,0.0017118858744174326
wire_count,0.00163625366592111
total_spend_to_income_ratio,0.0015561273733431247
avg_transaction_amount,0.0012908932544039458
western_union_count,0.00033602450370394594
country,0.0
